========================================================================
NUMERIC-KEYSTREAM skip-tolerant sweep  (Campaign XVIII / numeric_skip.py)
========================================================================
Pages: [0]..[54]  (55 pages)  |  max_len=277  |  ks_len=1176
Signs: {-1,+1}  |  Atbash: {0,1}  |  Offsets: [0, 1, 2, 3, 4]
Screen: len=50 beam_w=60 thr=-6.5  |  Confirm: beam_w=200 thr=-5.5
Null-max=-6.82  |  English solve ~-4.0 to -4.35  |  Threshold=-5.5

Building keystream catalog (ks_len=1176, fib=YES) ...
  874 keystreams built in 0.3s

    #  name                             best_screen   elapsed
------------------------------------------------------------
  400  fib_13_8                              -6.157     442.6s
  408  fib_13_16                             -5.983     450.6s  <== NOTABLE
  411  fib_13_19                             -5.995     454.2s  <== NOTABLE
  417  fib_13_25                             -5.924     461.7s  <== NOTABLE
  425  fib_14_4                              -5.961     470.5s  <== NOTABLE
  429  fib_14_8                              -5.782     475.7s  <== NOTABLE
  440  fib_14_19                             -5.924     488.4s  <== NOTABLE
  444  fib_14_23                             -5.964     493.3s  <== NOTABLE
  446  fib_14_25                             -5.906     495.5s  <== NOTABLE
  450  fib_15_0                              -6.272     499.6s
  454  fib_15_4                              -5.906     504.0s  <== NOTABLE
  456  fib_15_6                              -5.964     506.4s  <== NOTABLE
  460  fib_15_10                             -5.924     511.8s  <== NOTABLE
  471  fib_15_21                             -5.782     524.6s  <== NOTABLE
  475  fib_15_25                             -5.961     529.5s  <== NOTABLE
  483  fib_16_4                              -5.924     538.8s  <== NOTABLE
  489  fib_16_10                             -5.995     546.6s  <== NOTABLE
  492  fib_16_13                             -5.983     550.1s  <== NOTABLE
  500  fib_16_21                             -6.157     558.9s
  501  fib_16_22                             -5.997     559.8s  <== NOTABLE
  504  fib_16_25                             -5.571     562.5s  <== NOTABLE
  505  fib_16_26                             -5.922     564.0s  <== NOTABLE
  508  fib_17_0                              -5.988     567.0s  <== NOTABLE
  513  fib_17_5                              -5.988     572.9s  <== NOTABLE
  520  fib_17_12                             -5.988     579.9s  <== NOTABLE
  525  fib_17_17                             -5.988     584.8s  <== NOTABLE
  529  fib_17_21                             -5.571     588.5s  <== NOTABLE
